2022-05-04 18:35:37.464 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.7055308888561065
2022-05-04 18:35:37.464 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.9504416472264348
2022-05-04 18:35:37.464 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.9204770282688517
2022-05-04 18:35:37.464 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.8898797592887093
2022-05-04 18:35:37.465 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.693354891573947
2022-05-04 18:35:37.465 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.9067106505846025
2022-05-04 18:35:37.465 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.9568411389553106
2022-05-04 18:35:37.465 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.771190019494014
2022-05-04 18:35:37.465 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.71909313549927
2022-05-04 18:35:37.465 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.7713248337425167
2022-05-04 18:35:37.465 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.9712704521642284
2022-05-04 18:35:37.466 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.7824229923675428
2022-05-04 18:35:37.466 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.9709094235093767
2022-05-04 18:35:37.466 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.872320116406763
2022-05-04 18:35:37.466 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 4.008129471257449
2022-05-04 18:35:37.466 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.853168547038459
2022-05-04 18:35:37.466 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.9201944211971718
2022-05-04 18:35:37.466 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.8916710216967623
2022-05-04 18:35:37.467 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 4.053357539833396
2022-05-04 18:35:37.467 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.7604545918034358
2022-05-04 18:35:37.467 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 3.8098134749609973
2022-05-04 18:35:37.467 [main] INFO  org.javeriana.world.layer.evapotranspiration.EvapotranspirationCellState - Next evapotranspiration state: 4.246671177552979
2022-05-04 18:35:37.467 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 0.0
2022-05-04 18:35:37.468 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 44.41521960072802
2022-05-04 18:35:37.468 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 44.94500113404404
2022-05-04 18:35:37.468 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 0.0
2022-05-04 18:35:37.468 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 0.0
2022-05-04 18:35:37.468 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 29.793410834278465
2022-05-04 18:35:37.468 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 26.99534117760652
2022-05-04 18:35:37.468 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 32.59551606363313
2022-05-04 18:35:37.468 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 0.0
2022-05-04 18:35:37.468 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 32.02387042819789
2022-05-04 18:35:37.469 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 46.05226512009483
2022-05-04 18:35:37.469 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 0.0
2022-05-04 18:35:37.469 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 0.0
2022-05-04 18:35:37.469 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 55.14627052955966
2022-05-04 18:35:37.469 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 0.0
2022-05-04 18:35:37.469 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 0.0
2022-05-04 18:35:37.470 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 0.0
2022-05-04 18:35:37.470 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 32.283179214548646
2022-05-04 18:35:37.470 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 49.68015084286313
2022-05-04 18:35:37.470 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 0.0
2022-05-04 18:35:37.470 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 41.15632320387488
2022-05-04 18:35:37.470 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 49.01644073683552
2022-05-04 18:35:37.470 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 37.125511021857605
2022-05-04 18:35:37.470 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 34.15519303606339
2022-05-04 18:35:37.471 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 46.63491580425759
2022-05-04 18:35:37.471 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 25.958942875770344
2022-05-04 18:35:37.471 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 29.3283851343733
2022-05-04 18:35:37.471 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 43.30998431318303
2022-05-04 18:35:37.471 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 33.068903371290396
2022-05-04 18:35:37.472 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 0.0
2022-05-04 18:35:37.472 [main] INFO  org.javeriana.world.layer.rainfall.RainfallCellState - New rainfall state: 0.0
2022-05-04 18:35:37.474 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -----------> For Date: 02/01/2022 <-----------
2022-05-04 18:35:37.474 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: root1DiseaseCell
2022-05-04 18:35:37.474 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.474 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.004
2022-05-04 18:35:37.474 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.474 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: root2DiseaseCell
2022-05-04 18:35:37.474 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.474 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.004
2022-05-04 18:35:37.474 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.474 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: rice1DiseaseCell
2022-05-04 18:35:37.474 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.474 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.004
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: rice2DiseaseCell
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.004
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -----------> For Date: 03/01/2022 <-----------
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: root1DiseaseCell
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.006
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: root2DiseaseCell
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.006
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: rice1DiseaseCell
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.006
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: rice2DiseaseCell
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.006
2022-05-04 18:35:37.475 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -----------> For Date: 04/01/2022 <-----------
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: root1DiseaseCell
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.008
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: root2DiseaseCell
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.008
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: rice1DiseaseCell
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.008
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: rice2DiseaseCell
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.008
2022-05-04 18:35:37.476 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -----------> For Date: 05/01/2022 <-----------
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: root1DiseaseCell
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.01
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: root2DiseaseCell
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.01
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: rice1DiseaseCell
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.01
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: rice2DiseaseCell
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.01
2022-05-04 18:35:37.477 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.478 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -----------> For Date: 06/01/2022 <-----------
2022-05-04 18:35:37.478 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: root1DiseaseCell
2022-05-04 18:35:37.478 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.478 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.012
2022-05-04 18:35:37.478 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - -------------------
2022-05-04 18:35:37.478 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - Cell: root2DiseaseCell
2022-05-04 18:35:37.478 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - infected: false
2022-05-04 18:35:37.478 [main] INFO  org.javeriana.world.layer.disease.DiseaseLayer - current probability of infection: 0.012
